name,opp,venue,lower,upper
Frankie Montas,MIL,home,5.1255853196968975,7.5577714826255065
Miles Mikolas,MIL,home,3.991619922037609,6.305222300533597
Tylor Megill,MIL,home,4.142463116914707,7.228680123304239
Triston McKenzie,MIL,home,4.469686748902372,7.02666535477171
Shane McClanahan,MIL,home,7.340128967545935,9.814030745661144
Steven Matz,MIL,home,3.7106087388618487,6.797170177766539
Nick Martinez,MIL,home,3.1910676245380176,5.647010593722621
German Marquez,MIL,home,3.9790192434348777,6.438479514202123
Alek Manoah,MIL,home,4.830867341468792,7.289112975793945
Sean Manaea,MIL,home,5.038624762590819,7.527507656229799
Tyler Mahle,MIL,home,5.086734197657783,7.453419964987777
Daniel Lynch,MIL,home,4.140750210642802,6.847671313976425
Jordan Lyles,MIL,home,4.182088041562084,6.6859369145453265
Michael Lorenzen,MIL,home,3.6393040278101023,6.333221062860426
Pablo Lopez,MIL,home,5.388182619573543,7.8200977023343015
Eric Lauer,MIL,home,5.107596837678254,7.633541993548307
Chad Kuhl,MIL,home,2.935764414394491,5.453756362486651
Michael Kopech,MIL,home,3.5963895752313775,6.142291690037675
Corey Kluber,MIL,home,3.637948707356327,6.1286322448112935
George Kirby,MIL,home,4.113284417642211,7.015326191977563
Yusei Kikuchi,MIL,home,3.7749619457819934,6.2377633719326235
Dallas Keuchel,MIL,home,2.0001155634570345,5.0104128980045175
Clayton Kershaw,MIL,home,4.679017893545494,7.66525470754226
Merrill Kelly,MIL,home,3.812226779340376,6.20870159748476
Mitch Keller,MIL,home,3.4092991462190154,5.80475484889248
Brad Keller,MIL,home,3.0341085882575998,5.5299389180253025
James Kaprielian,MIL,home,2.492185164165784,5.212314140135338
Daulton Jefferies,MIL,home,2.145764391839184,5.452313898346954
Cristian Javier,MIL,home,5.476670434365151,7.967020696426476
Cole Irvin,MIL,home,3.1997907692786107,5.819170781480073
Dakota Hudson,MIL,home,1.9864222743156912,4.357210563440644
Adrian Houser,MIL,home,2.954450421400165,5.479047241989634
Rich Hill,MIL,home,2.958298489886759,5.516985408684511
Elieser Hernandez,MIL,home,2.9399470684005884,5.7721977429881
Kyle Hendricks,MIL,home,3.1387704482002117,5.479317252403755
Jonathan Heasley,MIL,home,2.795029572474002,5.805308018937216
Taylor Hearn,MIL,home,3.092130376536157,5.704434209501042
Vladimir Gutiérrez,MIL,home,1.7157173899850582,4.620734763074369
Zack Greinke,MIL,home,1.8350219086787023,4.529660784732679
Hunter Greene,MIL,home,5.3681706646221246,7.73685289567331
Sonny Gray,MIL,home,4.076405790579623,6.985252645756934
Josiah Gray,MIL,home,5.143308093266373,7.607689020039403
Jon Gray,MIL,home,5.359683615103793,7.981460347897557
MacKenzie Gore,MIL,home,4.27988171658664,6.917328138387164
Marco Gonzales,MIL,home,2.2581754472795534,4.759050433894988
Tony Gonsolin,MIL,home,4.084298625159699,6.604128665110366
Austin Gomber,MIL,home,2.799746855708192,5.323467370476721
Lucas Giolito,MIL,home,5.522462125569647,8.143013751844116
Logan Gilbert,MIL,home,4.647632214743664,7.077539421484369
Kyle Gibson,MIL,home,3.3974747078239576,5.852883463272799
Kevin Gausman,MIL,home,5.628781170651626,8.11960895451376
Luis Garcia,MIL,home,5.007343210313398,7.549489076720097
Zac Gallen,MIL,home,4.179450165182011,6.6985023574313605
Max Fried,MIL,home,5.079438680971259,7.413072742620455
Kyle Freeland,MIL,home,2.925849503520702,5.380488355665619
Chris Flexen,MIL,home,3.366894113416832,5.864198700705536
Erick Fedde,MIL,home,3.016891295642766,5.410744365614237
Alex Faedo,MIL,home,2.8959123427415046,5.784843339572624
Nathan Eovaldi,MIL,home,5.031233768114489,7.824472137933527
Zach Eflin,MIL,home,3.3457738233232375,5.990109184305179
Dane Dunning,MIL,home,4.071452210765258,6.502131578918375
Reid Detmers,MIL,home,2.7440423134621197,5.539387266306011
Zach Davies,MIL,home,3.2411609945178768,5.762094437645052
Yu Darvish,MIL,home,4.6665604331218145,7.15397202735009
Johnny Cueto,MIL,home,3.6151553261220832,6.614951691705485
Nestor Cortes,MIL,home,5.426301045936736,7.990225327891716
Patrick Corbin,MIL,home,3.791219833716678,6.13317036953954
Roansy Contreras,MIL,home,3.0168047519004046,5.805835735151301
Gerrit Cole,MIL,home,6.624416104449749,9.122294734471595
Alex Cobb,MIL,home,4.118908221854641,6.878517006254965
Aaron Civale,MIL,home,3.3709659298177233,6.385143611552557
Dylan Cease,MIL,home,6.964523246578881,9.443547983663214
Luis Castillo,MIL,home,4.994673076457234,7.818956190195236
Humberto Castellanos,MIL,home,1.653504558618124,4.522026482453469
Carlos Carrasco,MIL,home,4.889690186857488,7.3496426742656045
Corbin Burnes,MIL,home,6.944597690619258,9.34505021711755
Dylan Bundy,MIL,home,3.095067585576012,5.716298806414712
Madison Bumgarner,MIL,home,2.688090309213723,5.0868665028019935
Walker Buehler,MIL,home,3.7603142950851147,6.513494634616004
Kris Bubic,MIL,home,2.0834769691238986,4.868371971412773
JT Brubaker,MIL,home,4.296316711429587,6.696685914782752
Beau Brieske,MIL,home,2.6567798979674704,5.346861726923394
Kyle Bradish,MIL,home,3.620456237714213,6.623073583303272
Paul Blackburn,MIL,home,3.490350958160603,5.988301673799807
Shane Bieber,MIL,home,5.30367911298827,7.789715139622965
Jose Berrios,MIL,home,3.6139898905956054,6.014519014703283
Chris Bassitt,MIL,home,5.499022580013,7.988245662862
Graham Ashcraft,MIL,home,2.25681985307493,5.334883970110823
Aaron Ashby,MIL,home,4.039728067490971,6.567899906259601
Chris Archer,MIL,home,2.394510423006378,4.9368045988957165
Tyler Anderson,MIL,home,4.013640741885335,6.535102526484846
Ian Anderson,MIL,home,3.487899317941419,5.916920562404121
Sandy Alcantara,MIL,home,5.693384769058876,8.097031166487819
Joan Adon,MIL,home,2.7356199173311757,5.4060329417979744
Bruce Zimmermann,NYY,home,2.622006380068645,5.171755709611582
Kyle Wright,NYY,home,5.043080173464202,7.538512838019378
Brandon Woodruff,NYY,home,5.305920350506543,8.224134803491314
Alex Wood,NYY,home,3.8085037531995423,6.308233731904815
Garrett Whitlock,NYY,home,2.6274100253585733,5.271082881715561
Zack Wheeler,NYY,home,5.515076650635389,8.07012874159557
Tyler Wells,NYY,home,2.4546553055311096,4.83390334699328
Logan Webb,NYY,home,4.678052212573564,7.176865332151283
Spenser Watkins,NYY,home,1.2179960132424414,4.048959894558849
Taijuan Walker,NYY,home,3.4952338958251143,6.140925455367869
Adam Wainwright,NYY,home,3.9194701044985525,6.4244297561816985
Michael Wacha,NYY,home,2.8838189981550473,5.569471731344156
Justin Verlander,NYY,home,5.233010899262714,7.7465239885014245
Vince Velasquez,NYY,home,2.0507073017320803,4.6114790696280314
Framber Valdez,NYY,home,4.8827615564745175,7.323907060110993
Jose Urquidy,NYY,home,3.377103278501054,5.883409323148022
Julio Urias,NYY,home,4.358492207324928,6.868664802444605
Zach Thompson,NYY,home,1.8466711312527544,4.480356583597911
Keegan Thompson,NYY,home,2.6550544880571327,5.001586980290069
Jameson Taillon,NYY,home,3.762618001670863,6.239089762965387
Noah Syndergaard,NYY,home,3.2397455190357567,5.8899535589747485
Ranger Suarez,NYY,home,3.1669446500547336,5.727647987840354
Marcus Stroman,NYY,home,3.766940342346252,6.920346157428147
Ross Stripling,NYY,home,1.8829896308659517,4.1325943034679025
Justin Steele,NYY,home,3.560746359146276,6.072089494483469
Jeffrey Springs,NYY,home,2.8042841531053417,5.090763418266456
Blake Snell,NYY,home,4.5656765937306485,7.733457691847537
Drew Smyly,NYY,home,2.18613071073303,5.363169729231028
Devin Smeltzer,NYY,home,2.5035763292002033,5.508109407580532
Tarik Skubal,NYY,home,4.875482804622211,7.340658675866115
Brady Singer,NYY,home,3.9380859394646883,6.713673525955837
Luis Severino,NYY,home,5.457629127430371,7.9929665700643096
Antonio Senzatela,NYY,home,1.381319607650848,4.082280961302616
Max Scherzer,NYY,home,6.96099805641244,10.13141067836453
Patrick Sandoval,NYY,home,5.021816342725026,7.7105392807102415
Joe Ryan,NYY,home,4.154740253093293,6.839133068852273
Trevor Rogers,NYY,home,3.3334757589579325,5.847341901370552
Eduardo Rodriguez,NYY,home,3.0241148217681997,6.269152689450166
Carlos Rodon,NYY,home,6.051301782278697,8.545357511656427
Robbie Ray,NYY,home,5.984766483512931,8.395287970963377
Drew Rasmussen,NYY,home,2.986196575660286,5.672767591808518
Jose Quintana,NYY,home,3.5635590272437168,6.026973939679854
Cal Quantrill,NYY,home,2.6701170140201347,5.1648568799716434
Zach Plesac,NYY,home,3.0093996574800914,5.543602939270009
Nick Pivetta,NYY,home,4.885719426105198,7.2702223790559435
David Peterson,NYY,home,3.858476795602382,6.568052788623513
Martin Perez,NYY,home,4.369001118352497,6.839130256216247
Freddy Peralta,NYY,home,4.878481182141407,8.205668706474011
Glenn Otto,NYY,home,2.7420957432616895,5.5772693279102885
Shohei Ohtani,NYY,home,7.220534861339942,9.788941949931843
Jake Odorizzi,NYY,home,1.607800580544692,4.907375693809266
Aaron Nola,NYY,home,6.166590946139223,8.612929714966226
Joe Musgrove,NYY,home,5.2690766525330215,7.912891379775717
Charlie Morton,NYY,home,5.2475783605918735,7.75846959448155
Jordan Montgomery,NYY,home,3.5571585185092065,6.031186149005492
Frankie Montas,NYY,home,5.071212445207608,7.448897966802597
Miles Mikolas,NYY,home,3.8452246181812537,6.288371214077753
Tylor Megill,NYY,home,4.022518090802474,7.185378759104272
Triston McKenzie,NYY,home,4.413687326085395,6.9194183872764885
Shane McClanahan,NYY,home,7.311436925130029,9.67947639776485
Steven Matz,NYY,home,3.5932727677340477,6.75125975858214
Nick Martinez,NYY,home,3.051466072580813,5.623365755367627
German Marquez,NYY,home,3.876878530109172,6.377373837215629
Alek Manoah,NYY,home,4.791216301752658,7.16551762519788
Sean Manaea,NYY,home,4.9161873653347365,7.486698663173683
Tyler Mahle,NYY,home,4.966622238561185,7.410285533772176
Daniel Lynch,NYY,home,4.0853967105540185,6.739778423753009
Jordan Lyles,NYY,home,4.177037401230151,6.52774116456506
Michael Lorenzen,NYY,home,3.5602778811865456,6.249000819171783
Pablo Lopez,NYY,home,5.270723361039835,7.77431057055581
Eric Lauer,NYY,home,5.005189108318607,7.572703332595754
Chad Kuhl,NYY,home,2.834724935136662,5.39154945143228
Michael Kopech,NYY,home,3.5567208994060384,6.018713975550815
Corey Kluber,NYY,home,3.597795716067856,6.005538845787565
George Kirby,NYY,home,4.0414628006446804,6.9239014186628935
Yusei Kikuchi,NYY,home,3.751618268714946,6.0978606586874715
Dallas Keuchel,NYY,home,1.9698143461190367,4.877467725030314
Clayton Kershaw,NYY,home,4.584499904290582,7.596526306484972
Merrill Kelly,NYY,home,3.71095587468983,6.1467261118231065
Mitch Keller,NYY,home,3.294130246610676,5.75667735818862
Brad Keller,NYY,home,2.9651002805967024,5.435700835374
James Kaprielian,NYY,home,2.4258398658187987,5.115413048170123
Daulton Jefferies,NYY,home,2.0681758616112127,5.366656038262725
Cristian Javier,NYY,home,5.419800978203133,7.860643762276295
Cole Irvin,NYY,home,3.1425238757454412,5.713191284701043
Dakota Hudson,NYY,home,1.8419845003686237,4.338401947075511
Adrian Houser,NYY,home,2.851197076791866,5.4190541962857335
Rich Hill,NYY,home,2.888071333060841,5.423966175198229
Elieser Hernandez,NYY,home,2.8238512666507196,5.725047154425769
Kyle Hendricks,NYY,home,2.9717908101126973,5.48305050017907
Jonathan Heasley,NYY,home,2.717323419373252,5.719767781725767
Taylor Hearn,NYY,home,3.015326592585919,5.617991603139081
Vladimir Gutiérrez,NYY,home,1.5755315282412232,4.5976742345060035
Zack Greinke,NYY,home,1.7581312247203038,4.443305078378877
Hunter Greene,NYY,home,5.219572884391288,7.722204285591947
Sonny Gray,NYY,home,4.008122368738489,6.890289677285869
Josiah Gray,NYY,home,5.042624585230271,7.5451261377633045
Jon Gray,NYY,home,5.300063487679649,7.877834085009502
